Date,Description,Original Description,Amount,Type,Category,Account,Tags,Memo,Pending
12/07/14,Anthropologie,ANTHROPOLOGIE            CALGARY      CD ,37.8,debit,Clothing,MasterCard Account Product,,,false
12/06/14,Carriage House Calgary Ab,CARRIAGE HOUSE           CALGARY      AB ,103,debit,Restaurants,MasterCard Account Product,,,false
12/06/14,Carriage House Inn Calgary,CARRIAGE HOUSE INN       CALGARY      CD ,35.63,debit,Hotel,MasterCard Account Product,,,false
12/06/14,Cash Advance Fee,CASH ADVANCE FEE                         ,2.5,debit,Fees & Charges,MasterCard Account Product,,,false
12/05/14,Payment,PAYMENT - THANK YOU                      ,400,credit,Transfer,MasterCard Account Product,,,false
12/04/14,Gap,GAP CANADA  9816         CALGARY      CD ,83.99,debit,Clothing,MasterCard Account Product,,,false
12/01/14,Subway,SUBWAY SANDWICHES        CALGARY      CD ,6.87,debit,Fast Food,MasterCard Account Product,,,false
11/30/14,Bench Calgary,BENCH #111               CALGARY      CD ,13.95,debit,Restaurants,MasterCard Account Product,,,false
11/30/14,Bench Calgary,BENCH #111               CALGARY      CD ,190.37,debit,Restaurants,MasterCard Account Product,,,false
11/30/14,Kilkenny Irish Pub Inc Calgary,KILKENNY IRISH PUB INC   CALGARY      CD ,50.35,debit,Alcohol & Bars,MasterCard Account Product,,,false
11/30/14,The Bay Calgary,THE BAY #1138            CALGARY      CD ,37.8,debit,Sports,MasterCard Account Product,,,false
11/29/14,Tim Hortons,TIM HORTONS 3785 QTH     CALGARY      CD ,9.18,debit,Coffee Shops,MasterCard Account Product,,,false
11/28/14,Calgary,A&W #1473                CALGARY      CD ,5.67,debit,Movies & DVDs,MasterCard Account Product,,,false
11/28/14,Wendy's,WENDY'S RESTAURANT       CALGARY      CD ,17.09,debit,Fast Food,MasterCard Account Product,,,false
11/27/14,Esso Calgary,ESSO                     CALGARY      CD ,45.18,debit,Gas,MasterCard Account Product,,,false
11/26/14,Margot Black Profes Calgary,MARGOT E. BLACK PROFES   CALGARY      CD ,168,debit,Restaurants,MasterCard Account Product,,,false
11/25/14,Gap,GAP CANADA  9816         CALGARY      CD ,28.32,debit,Clothing,MasterCard Account Product,,,false
11/25/14,Oak And Fort Calgary,OAK AND FORT             CALGARY      CD ,26.25,debit,Restaurants,MasterCard Account Product,,,false
11/25/14,Rocky Mountain Soap Co Calgary,ROCKY MOUNTAIN SOAP CO   CALGARY      CD ,22.58,debit,Fast Food,MasterCard Account Product,,,false
11/24/14,Panago Calgary,PANAGO #164              CALGARY      CD ,9.18,debit,Movies & DVDs,MasterCard Account Product,,,false
11/23/14,McDonald's,MCDONALD'S #10820  Q04   CALGARY      CD ,13.73,debit,Fast Food,MasterCard Account Product,,,false
11/23/14,Starbucks,STARBUCKS 04399          CALGARY      CD ,10.5,debit,Coffee Shops,MasterCard Account Product,,,false
11/23/14,Tea Pot China Bistro Calgary,TEA POT CHINA BISTRO     CALGARY      CD ,17.55,debit,Restaurants,MasterCard Account Product,,,false
11/22/14,Netflix.com,NETFLIX.COM              866-716-0414 CD ,7.99,debit,Movies & DVDs,MasterCard Account Product,,,false
11/22/14,Payment,PAYMENT - THANK YOU                      ,1700,credit,Transfer,MasterCard Account Product,,,false
11/21/14,Sushi Boat Calgary,SUSHI BOAT               CALGARY      CD ,23.97,debit,Restaurants,MasterCard Account Product,,,false
11/20/14,Payment,PAYMENT - THANK YOU                      ,242.66,credit,Transfer,MasterCard Account Product,,,false
11/17/14,Payment,PAYMENT - THANK YOU                      ,22.51,credit,Transfer,MasterCard Account Product,,,false
11/17/14,Subway,SUBWAY SANDWICHES        CALGARY      CD ,6.83,debit,Fast Food,MasterCard Account Product,,,false
11/16/14,Dennys,DENNY'S 03-078 CALG      CALGARY      CD ,13.38,debit,Restaurants,MasterCard Account Product,,,false
11/15/14,Apple iTunes,APL* ITUNES.COM/BILL     800-676-2775 CD ,0.99,debit,Music,MasterCard Account Product,,,false
11/15/14,Nordstrom,NORDSTROM CHINOOK CTR    CALGARY      CD ,44.1,debit,Clothing,MasterCard Account Product,,,false
11/15/14,Payment,PAYMENT - THANK YOU                      ,1500,credit,Transfer,MasterCard Account Product,,,false
11/15/14,Payment,PAYMENT - THANK YOU                      ,250,credit,Transfer,MasterCard Account Product,,,false
11/15/14,The Face Shop Calgary,THE FACE SHOP #339       CALGARY      CD ,42,debit,Clothing,MasterCard Account Product,,,false
11/13/14,Korean Village Restaurant Calgary,KOREAN VILLAGE RESTAUR   CALGARY      CD ,18.08,debit,Restaurants,MasterCard Account Product,,,false
11/13/14,Mad Rose Pub Calgary,MAD ROSE PUB             CALGARY      CD ,25.32,debit,Restaurants,MasterCard Account Product,,,false
11/13/14,Wal-Mart,WAL-MART # 5726          CALGARY      CD ,29.92,debit,Shopping,MasterCard Account Product,,,false
11/13/14,YMCA,CROWFOOT YMCA / YMCA C   CALGARY      CD ,17.99,debit,Amusement,MasterCard Account Product,,,false
11/12/14,Mary Lee,MARY LEE                                 ,0,debit,Groceries,MasterCard Account Product,,,false
11/09/14,Pho Hoan Pasteur Royal Calgary,PHO HOAN PASTEUR ROYAL   CALGARY      CD ,19.95,debit,Gas,MasterCard Account Product,,,false
11/09/14,Starbucks,STARBUCKS 17004          CALGARY      CD ,7.04,debit,Coffee Shops,MasterCard Account Product,,,false
11/09/14,Wal-Mart,WAL-MART # 5726          CALGARY      CD ,8.4,debit,Shopping,MasterCard Account Product,,,false
11/09/14,Wal-Mart,WAL-MART # 5726          CALGARY      CD ,51.88,debit,Shopping,MasterCard Account Product,,,false
